what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problem writing to Z:/3_4_ano/ESTD/exer1bim/.metadata/.plugins/org.eclipse.wst.jsdt.core/libraries/xhr.js",1492732672717
error,log,,,"Problem writing to Z:/3_4_ano/ESTD/exer1bim/.metadata/.plugins/org.eclipse.wst.jsdt.core/libraries/dom5.js",1492732672748
started,bundle,org.eclipse.pde.ds.annotations,1.0.0.v20160525-1437,"org.eclipse.pde.ds.annotations",1492732672952
started,bundle,org.eclipse.jdt.apt.core,3.4.100.v20160525-0952,"org.eclipse.jdt.apt.core",1492732673045
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.1.100.v20160418-1457,"org.eclipse.jdt.apt.pluggable.core",1492732673577
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732677608
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732696124
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.import",1492732696171
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732696187
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732696656
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.300.v201308151836,"org.eclipse.jst.ws.jaxws.dom.integration",1492732702407
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.100.v201308151836,"org.eclipse.jst.ws.jaxws.dom.ui",1492732702469
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.301.v201504272154,"org.eclipse.jst.ws.jaxws.utils",1492732702516
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732712175
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732834170
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732841030
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732845545
executed,command,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.e4.ui.importer.openDirectory",1492732845561
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732848968
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732883088
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.import",1492732883123
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732892249
